ds,y,
2019-02-03,211648166,
2019-03-03,199616500,
2019-03-31,208704046,
2019-04-28,217475362,
2019-05-26,223907096,
2019-06-23,220142140,
2019-07-21,235114555,
2019-08-18,219291511,
2019-09-15,224168851,
2019-10-13,211904999,
2019-11-10,207896361,
2019-12-08,226457424,
2020-01-05,232699795,
2020-02-02,205252288,
2020-03-01,200381206,
2020-03-29,242585288,
2020-04-26,235059680,
2020-05-24,256039461,
2020-06-21,245739032,
2020-07-19,253451710,
2020-08-16,238293580,
2020-09-13,243337118,
2020-10-11,226593305,
2020-11-08,228105309,
2020-12-06,239596298,
2021-01-03,244417852,
2021-01-31,220482447,
2021-02-28,223739582,
2021-03-28,225448246,
2021-04-25,229581468,
2021-05-23,233475890,
2021-06-20,247167515,
2021-07-18,247595052,
2021-08-15,235376811,
2021-09-12,242248050,
2021-10-10,225731850,
2021-11-07,224080018,
2021-12-05,238731747,
2022-01-02,244121703,
2022-01-30,212540284,
2022-02-27,224082644,
2022-03-27,220173946,
2022-04-24,227474815,
2022-05-22,228195440,
2022-06-19,241753602,
2022-07-17,244978903,
2022-08-14,230364380,
2022-09-11,234610936,
2022-10-09,219423586,
2022-11-06,221312516,
2022-12-04,233186444,
2023-01-01,237945405,
2023-01-29,206329677,
2023-02-26,216096365,
2023-03-26,211043501,
2023-04-23,221781208,
2023-05-21,220184215,
2023-06-18,232513803,
2023-07-16,238575861,
2023-08-13,223151850,
2023-09-10,229711434,
2023-10-08,212845108,
2023-11-05,213044387,
2023-12-03,232659734,
2023-12-31,236536258,
2024-01-28,202311230,
2024-02-25,216188212,
2024-03-24,210388141,
2024-04-21,219436239,
2024-05-19,222086303,
2024-06-16,236784260,
2024-07-14,241903612,
2024-08-11,221584269,
2024-09-08,232805774,
2024-10-06,217313925,
2024-11-03,218302844,
2024-12-01,236549719,
2024-12-29,232514334,
